;apk;paragraph;actual_contains_controller;contains_controller;token_list;spacy_results;spacy_results_bool;spacy_expected
2920;com.neptune.ludo;"Higgs Games develops and publishes social games for mobile devices (the “Service”). We offer a variety of games through various means, including our mobile application and our Facebook application This Privacy Policy has been created to inform you about how Higgs Games manages, collects, stores, shares, uses and protects the information you provide in connection with any Higgs Games game or application whenever you play our games or otherwise access any of our Services, products, content, and/or the other domains provided by Higgs Games. By using the Service, you agree to the collection, disclosure, storage and use of your information as outlined in this Privacy Policy.Higgs Games may amend the Privacy Policy from time to time, and Higgs Games encourages you to consult the Privacy Policy regularly for changes.
Information Collected
Higgs Games's primary objective in collecting user information is to provide and enhance the Service and to enable users to enjoy the Service. When you install, play Higgs Games’s games or access any of our Services, Higgs Games may automatically receive, collect and record certain information about you, whether through the Services directly or through a third party social network (like Facebook) or other third party services (""Account Information"").
Personal Information
“Personal information” means information about you that can be used to contact or identify you. The personal information types collected in accordance with the Service may vary depending on the activity and may include:
When you log into our mobile application through your Facebook account, you will be asked to enter your Facebook email address and password. Facebook controls the information collected from you during the log-in process; Higgs Games does not control the information that Facebook collects from you. When you use any of our Applications (whether our mobile application or if you access our Facebook application), we will collect the following information: (i) access and collect your Facebook basic information (this includes your name, profile picture, gender, networks, user IDs, list of friends, date of birth, email address, and any other information you have you have set to public on your Facebook account); (ii) send you email; (iii) post to your Wall; (iv) access posts in your news feed; and (v) access your Facebook data at any time even if you are not using Facebook. Please note, if you allow Higgs Games to have access to this information, then Higgs Games will have access to this information even if you have chosen not to make that information public. For information about how Facebook may disclose your information, including any information you make public, please consult the Facebook Privacy Policy. We have no control over how Facebook uses or discloses the personal information you provide to it. We store the information that we receive from Facebook along with other information that we collect from you or receive about you. If you purchase a license to use in-game virtual currency or virtual items in any of our games, our third party payment processor will collect the billing and financial information it needs to process your charges. This may include your postal address, e-mail address and financial information. Higgs Games does not collect or store your financial information, like credit card numbers. However, Higgs Games’s payment processors may share non-financial information with us related to your purchases, like your name, billing address and the items purchased in order to fulfill your order. Higgs Games may also obtain the billing and payment information that you provide when your purchase is processed by another party (like Facebook, Apple or Google) such as when you purchase something in a game you play on a social network or that you downloaded on your mobile device however does not store it. Our Terms of Service explain our policies and terms relevant to our charges, billing practices, third party credits and virtual currencies. Please note that such purchases may also be subject to additional policies of such third party site.
Non-Personal Information
“Non-personal information” is information that, when taken alone, cannot be used to identify or contact you. Higgs Games may collect non-personal information about your use of its Service in the course of your game play. Higgs Games may also invite you to share non-personal information about yourself which may include but is not limited to:
Your age and date of birth;
Your gender;
Information about the hardware you may own;
Your country;
If applicable, your physical geolocation and that of the devices you use to access our Services;
Your favorite websites, friend information and fan pages;
Any other information included in your application, social network or other online profile.
If non-personal information is collected for an activity that also requires personal information, Higgs Games may combine your non-personal information with your personal information in an attempt to provide you with a better user experience, to improve the value and quality of the Services, to analyze how its Services are used and to create new features, promotions and functionalities. The Service may also record game play information such as your game session duration or your high scores. In addition to information collected as described above, you may choose to share additional information about yourself throughout the Service, such as on message boards and in game chat rooms. Any actions you perform with other players are considered public, and are in your sole discretion.
Use of Your Information
How Higgs Games Uses Your Information
We use the information that we gather about you for the following purposes:
To provide our Services to you, to communicate with you about your use of our Services, to respond to your inquiries, to fulfill your orders, and for other customer service purposes. If enter into a sweepstake, contest, or similar promotion, Higgs Games may use the information you provide to administer those programs. Your participation in tournaments or other online game events is conditional upon you granting Higgs Games permission to collect, use, store, transmit and display publicly statistical data, such as your scores, rankings and achievements, generated through your participation. To tailor the content and information that we may send or display to you, to offer location customization, and to otherwise personalize your experiences while using the Site, Applications, or our Services.
Where permitted by law, and in accordance with Facebook’s applicable terms and conditions, for marketing and promotional purposes. For example, we may use your information, such as your email address, to email you news and newsletters, special offers, and promotions, or to otherwise contact you about products or information we think may interest you. We may also use the information that we learn about you to determine where to assist us in advertising our Services on third party websites. To better understand how users access and use our Services, both on an aggregated and individualized basis, in order to improve our Services, analyze player traffic and activity, respond to user desires and preferences, and for other research and analytical purposes.
We also may post to your Facebook Wall, access posts in your news feeds, and access your Facebook data when you are not logged into Facebook. We will use and access this information for the purposes described in this section and as discussed below.
As required or permitted by law.
Access through Social Network Services or Mobile Devices
By accessing or connecting to the Service through a social network (such as Facebook), mobile device (such as cellular phones, iPads, tablets) or other third party platform or service, where our games may also be referred to as “applications”, you are authorizing Higgs Games to access, collect, store, and use in accordance with this Privacy Policy any and all information that you agreed the social network, mobile device or other third party platform and applications store could provide to Higgs Games through the social network/mobile device/third party platform Application Programming Interface (API) based on your settings on such social network, mobile device, applications store or platform.
With your consent we may send push notifications to your mobile device to provide game updates and other relevant messages. You can manage push notifications from the “options” or “settings” page within the relevant game. You may also be able to manage them from your device’s settings page for the relevant game. You may also receive local notifications. You can turn off local notifications by visiting the “options” or “settings” page within the relevant game. You can stop further use of your geo-location (for example through “check-ins”) by visiting your device's settings for the relevant application or the “settings” page for the relevant game.
Third-Party Links
Our Site and Applications contain links to third-party websites. Any access to and use of such linked websites is not governed by this Policy, but instead, is governed by the privacy policies of those third-party websites. We are not responsible for the information practices of such third-party websites.
Fan Page and Chat Rooms
You may be able to take part in certain activities on our fan page or games that give you the opportunity to communicate or share information not just with Higgs Games, but also with other users of our Service. Note that certain information you post and communicate through a Service or a third party site or service is public information for which you have no expectation of privacy.
You should be aware that any personally identifiable information you submit in the course of these public activities can be read, collected, or used by other users of these forums, and could be used to send you unsolicited messages. Higgs Games is not responsible for the personally identifiable information you choose to make public in any of these forums. We may also record and store archives of these communications on Higgs Games's servers to protect the safety and wellbeing of our users and Higgs Games's rights and property in connection with the Service. You acknowledge and consent to the recording and storage of such communications for these purposes. Higgs Games is not responsible for the videos, images or photos that you choose to post through a Service. Browser Use
Note that in the ordinary course of Internet activity, certain information may be sent from your browser to third parties such as advertising networks and analytics companies. Higgs Games has no control over the information sent from your browser to those networks or other third parties and recommends that you ensure that your browser settings prevent the disclosure of information you would not like to share.
Disclosure of Your Personal Information
You understand and agree that Higgs Games may be required to access, monitor and disclose your information, and the contents of your online communications (including without limitation chat text, voice communications, IP addresses and any personal information) if required to do so by any applicable law or regulation, or in the belief that such disclosure is reasonably necessary to avoid liability, to comply with legal process, including, but not limited to a subpoena, statute, search warrant, or court order, or to protect the rights or property and rights of Higgs Games or a third party, to protect the safety of our users, the public or any person, or to prevent or stop activity Higgs Games may consider to be, or to pose a risk of being, illegal, unethical, criminal or legally actionable, including to report such criminal activity or to exchange information with other companies and organizations for the purposes of fraud protection, credit risk reduction and other security precautions. Note that Higgs Games is not required to question or contest the validity of any search warrant, subpoena or other similar governmental request that it may receive.
Higgs Games may also disclose information about you if it determines that such disclosure is reasonably necessary to enforce our Terms of Service or to protect its operations or users. Additionally, Higgs Games may sell, transfer or otherwise share some or all of its assets, including your Personal Information, in connection with a merger, acquisition, reorganization or sale of assets or in the event of bankruptcy. We may transfer your information, including personal information, to the successor organization in such transaction. As part of our international operations, we may transfer data to our affiliates from time to time for our legitimate business purposes.
Cookies
Like many websites, Higgs Games and service providers acting on our behalf, like Google Analytics, store log files and use tracking technologies such as ""cookies"" to collect information. A cookie is a small data file that is transferred to your computer’s hard disk or your mobile device for record-keeping purposes. The Service may send cookies to a computer or a mobile device when a user accesses or views a Service. Information contained in a cookie may be linked to personal information for purposes such as improving the quality of Higgs Games’s Service, tailoring recommendations to interests, and making the Service easier to use. Third party advertisers on the Services may also use, place or read cookies or other technologies as described below on your browser, and those practices are subject to their own policies. Cookies can be disabled at any time by changing your web browser’s options to stop accepting cookies, to prompt you before accepting a cookie from the websites you visit or limit the type of cookies you allow. Flash cookies operate differently than browser cookies and cookie management tools available in a web browser may not remove flash cookies. If you do not accept cookies, however, you may not be able to use all features, portions or functionalities of the Service.
Changing or Deleting Your Information
You may review, update, correct or delete any personal information by changing the applicable information in your profile page. If you completely delete all of this information, your account may be deactivated. If you would like Higgs Games to review, delete, change or not use your information in our system, or have additional questions, please contact Higgs Games via submit a ticket via the applicable support channel of the game and we will attempt to accommodate your request if we are not legally obligated to retain such information. Kindly include your first name, last name, e-mail address and your social network ID for the social network from which you access our Services (if applicable) in the body of the e-mail (for example, your Facebook user ID). Please note that certain records, for example those pertaining to payments or customer service matters, will be retained for legal and accounting purposes. If you have sent or posted content on the Service, we may not be able to delete it.
Security
We have implemented commercially reasonable precautions designed to protect the information we collect from loss, misuse, and unauthorized access, disclosure, alteration, and destruction. Please be aware that despite our best efforts, no data security measures can guarantee 100% security. You should take steps to protect against unauthorized access to your password, phone, and computer by, among other things, signing off after using a shared computer, choosing a robust password that nobody else knows or can easily guess, and keeping your password private. We are not responsible for any lost, stolen, or compromised passwords or for any activity on your account via unauthorized password activity. To change your Facebook password, you must go to the Facebook site and follow its procedures for changing your password.
AGE REQUIREMENT
You must be at least 13 years old to use the Software. By accepting the terms of this Privacy Policy and the Terms of Use presented to you before downloading or presenting the Software and while using it, you represent that you are over 13 years old. In the event that you are between the ages 13 and 18, your lawfully legal guardian must review and agree to the terms of our Terms of Use and this Privacy Policy. We will not knowingly collect personal information from a user who is younger than 13 years old and, if we have reason to believe that you are younger than 13 years old, we will delete your information from our servers.
Privacy Rights
We do not share personal information with third parties for their direct marketing purposes unless you affirmatively agree to such disclosure, typically by ""opting in"" to receive information from a third party that is participating in a sweepstakes or other promotion on one of our sites. If you do ask us to share your personal information with a third party for its marketing purposes, we will only share information in connection with that specific promotion, as we do not share information with any third party (other than our service providers) on a continual basis. To prevent disclosure of your personal information for use in direct marketing by a third party, do not opt in to such use when you provide personal information on one of our sites. Users in certain jurisdictions have a right to access personal information held about themselves. Your right of access can be exercised in accordance with applicable law.
Contacting Us
If you have any questions relating to this Privacy Policy, feel free to contact us with any query through our game application and we will answer you shortly.";True;True;['“service”'];"['Higgs Games', 'Facebook', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', ""Higgs Games's"", 'Higgs Games’s', 'Higgs Games', 'Facebook', 'Facebook', 'Facebook', 'Facebook', 'Higgs Games', 'Facebook', 'Facebook', 'Facebook', 'Facebook', 'Facebook', 'Higgs Games', 'Higgs Games', 'Facebook', 'Facebook', 'Facebook', 'Higgs Games', 'Higgs Games’s', 'Higgs Games', 'Facebook', 'Apple', 'Google', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Facebook', 'Facebook', 'Facebook', 'Facebook', 'Facebook', 'iPads', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', ""Higgs Games's"", ""Higgs Games's"", 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Higgs Games', 'Google Analytics', 'Service', 'Higgs Games’s', 'Higgs Games', 'Higgs Games', 'Facebook', 'Facebook', 'Facebook']";True;True
2922;com.netqin.ps;Beijing Lexing Yingda Technology Co., Ltd. (“we”, “us”, “our”, or “ Lexing Yingda”) is committed to maintaining customer privacy through an ethical performance culture that is based on trust, simplicity and confidence. It is one of our core principles to secure customer information while using our services and mobile applications (“products”), and provide privacy protection that is critical in maintaining trust and providing better services. Our individual privacy protection policy ensures the confidentiality of customer information under the defined terms and conditions below.;True;True;['“we”', '“our”', '“us”'];['Beijing Lexing Yingda Technology Co., Ltd.'];True;True
2924;com.netqin.ps;This Lexing Yingda Privacy Policy (“Privacy Policy”) applies to all the products and services of us, including Booster & Cleaner (com.netqin.mobileguard), Call Blocker Free (com.netqin.mm), Green Battery (com.nqmobile.battery), Lynx (com.picoo.lynx), Lynx Privacy (com.picoo.newlynx), Super Toolbox (com.netqin.aotkiller), Vault (com.netqin.ps), Calculator (com.nqmobile.calculator) and other products we may publish from time to time.;True;True;['“privacy policy”'];['Booster & Cleaner', 'Call Blocker Free', 'Green Battery', 'Lynx', 'Lynx Privacy', 'Super Toolbox'];True;True
3066;com.ninefolders.hd3;9Folders, Inc. (“9folders,” “the Company,” “we,” “us,” or “our”) respects the privacy of our users (“customer,” “user,” or “you”) and is committed to protecting your privacy. This Privacy Policy explains how your personal information is collected, used, disclosed and safeguarded by the Company. This Privacy Policy applies to our app (the “Application,” or “App”) and by accessing or using our app or web site, you signify that you have read, understood and agree to our collection, storage, use and disclosure of your personal information as described in this Privacy Policy. We reserve the right to make changes to this Privacy Policy at any time and for any reason. We will alert you about any changes by updating the “Last modified” date of this Privacy Policy. You are encouraged to periodically review this Privacy Policy to stay informed of updates. You will be deemed to have been made aware of, will be subject to, and will be deemed to have accepted the changes in any revised Privacy Policy by your continued use of the Application after the date such revised Privacy Policy is posted. 9Folders Inc. built the Nine (“Nine - Email & Calendar,” “Nine Work for Android Enterprise,” “Nine Work for AirWatch,” “Nine Work for Intune,” “Nine Work for Rubus,” and “Nine Work for MobileIron Appconnect”) app as a Commercial app. This app and the website are provided by 9Folders Inc. and is intended for use as is. This page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information if anyone decided to use our Service.;True;True;['“our”', '“app”'];['9Folders, Inc.', '9folders', '9Folders Inc.', '9Folders Inc.'];True;True
3101;com.ninefolders.hd3;Copyright © 2019 9Folders Inc. All Rights Reserved;True;True;['©', 'all rights reserved'];['9Folders Inc.'];True;True
3138;com.ntk.Rove;"Subscribe
Copyright © 2022 ROVE Innotech. All rights reserved.
SHOPPING CART";False;True;['©', 'all rights reserved'];['ROVE Innotech'];True;True
3221;com.opera.mini.native;© 1995-2022 Opera Norway;True;True;['©'];['Opera Norway'];True;True
3222;com.opera.mini.native;All rights reserved;False;True;['all rights reserved'];[];False;False
3232;com.pandonee.finwiz;"Pandonee built the ""FinWiz App"" as an Ad and In-App purchases supported the application. This SERVICE is provided by Pandonee at no cost and is intended for use as is.";True;True;['at no cost and is intended for use'];['Pandonee', 'Pandonee'];True;True
3263;com.pandonee.finwiz;© 2022 FinWiz Privacy Policy;True;True;['©'];[];False;False
3266;com.pandora.android;"Pandora operates a personalized Internet radio service and related platform features available through the web at pandora.com, on mobile devices and tablets, in automobiles, and through other consumer electronic devices (the ""Pandora Service"" or ""Service""). As used in this policy, ""Pandora"" refers to Pandora Media, LLC and its subsidiaries. This policy applies to all Pandora-authorized operations of the Service. We may refer to Pandora as ""we"", ""us"", or ""our"". We may refer to you as ""listener"", ""you"", or ""your"". The purpose of this policy is to inform you about the personal information we collect, how we use and share that information, and the ways in which you can control how we use and share that information. By using our Service, you agree to the terms of this policy and you expressly consent to the collection, use, and disclosure of your personal information in accordance with this policy.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""', '""service""']";['Pandora', 'Pandora', 'Pandora Media, LLC', 'Pandora', 'Pandora'];True;True
3387;com.papajohns.android;"Domicilio:
Ingrese su dirección
La tienda está cerrada
Entrar
Domicilio:
Ingrese su dirección
La tienda está cerrada
0
Papa John’s
Acerca de nosotros
Trabaja con Nosotros
Ingredientes
Papa John's Int.
Ayuda
Preguntas frecuentes
Contacto
Franquicias
Información
Formulario de contacto
Legal
Aviso legal
Condiciones generales de venta
Política de privacidad
Codigo Ético
Política de cookies
Configuración de cookies
Locales
Nuestros locales
Síguenos
© 2022 Papa John's Internacional, Inc. Todos los derechos reservados
En este sitio web utilizamos cookies propias o de terceros para mejorar nuestros servicios con fines analíticos para crear perfiles y mostrarte publicidad relacionados con tus preferencias en base al perfil elaborado, a partir de tus hábitos de navegación. Puedes aceptar todas las cookies dando al botón de “aceptar” o configurarlas o rechazarlas dando al botón de Configuración de cookies”. Puedes obtener más información. AQUÍ
CONFIGURACIÓN
ACEPTAR";True;True;['©'];"[""Papa John's Internacional, Inc.""]";True;True
3408;com.piupiuapps.hairstyles;"This Privacy Policy explains how your personal data is collected and processed by Piu Piu Apps (“us”, “we”, or “our”) when you use any mobile application (""app"", ""game"") published by ""Piu Piu Apps"" developer in Google Play store or in the Apple AppStore by Olga Bagryanskaya.";True;True;"['“we”', '“our”', '“us”', '""app""']";['Google Play'];True;False
3449;com.pointpickup.partner;"
This Privacy Policy is incorporated by reference into the Point Pickup End User License Agreement (EULA) & Terms of Service. The term “Point Pickup,” “we,” and “us” includes Point Pickup Technologies, Inc. and our affiliates and subsidiaries. The Privacy Policy explains how Point Pickup may:";True;True;['“us”'];['Point Pickup Technologies, Inc.'];True;True
3454;com.pointpickup.partner;The “Service” means any website, mobile application, or Internet service under the control of Point Pickup Technologies, Inc., whether partial or otherwise, in connection with providing an online platform for Point Pickup’s services. Any capitalized terms that are not defined in this Privacy Policy have the meaning set forth in the EULA & Terms of Service.;True;True;['“service”'];['Point Pickup Technologies, Inc.', 'Point Pickup’s'];True;True
3534;com.pointpickup.partner;"The Company
About Us
Get the API
Press
Privacy
Privacy Policy
EULA
Get in Touch
Track your Package
Create an Account
Contact Us
FAQ
Opportunities
Sign up as a Business
Become a Driver
Jobs
© 2022 Point Pickup Technologies Inc. All rights reserved";True;True;['©', 'all rights reserved'];['Point Pickup Technologies Inc.'];True;True
3536;com.praveenj.vocab;Praveen Yuva built the Vocabulary Builder app as an Ad Supported app. This SERVICE is provided by Praveen Yuva at no cost and is intended for use as is.;True;True;['at no cost and is intended for use'];[];False;True
3567;com.qingniu.renpho;"Shop Now
Electric massager series
Just for your healthy life
Eye Massager
from €55,99
Air Compression Leg Massager
from €109,99
Handheld Back Massager-Wired
€25,99
Air compression leg massager
€79,99
View all
Blog posts
View all
Renpho Seasonal Staff Picks 2021
Dec 05, 2021
What Is FTP and How Can It Improve Your Workout
Jul 09, 2021
How Long Should Your Skipping Rope Length Be?
Jun 24, 2021
Stay tuned to our latest news
Enter your email
Instagram
 
Facebook
 
Twitter
 
TikTok
 
LinkedIn
 
YouTube
Shippings and Returns
 
Terms of Use
 
Privacy Policy
 
Contact Us
 
Terms of Service (Spanish)
 
Privacy Policy (Spanish)
       
© 2022 Renpho EU";True;True;['©'];['Renpho EU'];True;True
3570;com.recorder.screenrecorder.capture;"Please carefully read this Privacy Policy ( the “Policy”), which explains the categories of personal information that Shanghai Enjoy information technology Co., LTD. (""Mobi Recorder,"" ""we"" ""us"" or ""our"") collects when you (the “User” or “You”), as the user of our Mobi Recorder video creation tools through its website (the “Website”) and its mobile application (the “Application”) (collectively, the Website and Application are the ""Services""), how that information is used, with whom it may be shared, and your privacy choices.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""', '""services""', '“user”']";['Shanghai Enjoy information technology Co., LTD'];True;True
3657;com.relianceco.cma.SandwichSD;This Privacy Statement applies to Intrado Corporation and its affiliates (“Intrado” “we” “us” “our”) unless the affiliate has a separately posted privacy statement. Intrado values the privacy of our customers, users, and any individual who accesses or uses the Intrado websites, products, and services (collectively, the “Services”). Your privacy is an important factor Intrado considers in the development of each of our products and services. This Privacy Statement explains generally how we receive Personal Information about you, and what we do with that Personal Information once we have it.;True;True;['“we”', '“our”', '“us”', '“services”'];['Intrado Corporation', 'Intrado', 'Intrado', 'Intrado', 'Intrado'];True;True
3675;com.relianceco.cma.SandwichSD;"Important Notice Regarding Unified Communications Services, Webcasting, and Virtual Event Services
Intrado processes Personal Information as part of delivering the above noted services on behalf of its customers. The customer is the data controller of the information. For these services, Intrado only collects Personal Information necessary to fulfill our contractual obligations with the customer. We may collect contact data such as name, e-mail address and company details you provide us during the registration process and during your use of the services. We may also collect product usage data, such as the date on which you viewed a webcast, the duration of your viewing and the part of the webcast you viewed.";True;True;['is the data controller'];['Unified Communications Services', 'Intrado', 'Intrado'];True;True
3746;com.ringmystylist.app;"Brilliant Business Agency LLC (""us"", ""we"", or ""our"") operates the Ring My Stylist mobile application (the ""Service"").";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""', '""service""']";['Brilliant Business Agency LLC', 'Ring My Stylist'];True;True
3750;com.ringmystylist.app;Brilliant Business Agency LLC provides mobile application services (Ring My Stylist mobile app) for booking appointments. Headquartered in Las Vegas, Nevada, we provide mobile app to our customers (“Services”).;True;True;['“services”'];['Brilliant Business Agency LLC', 'Ring My Stylist'];True;True
3823;com.safariflow.queue;"This Privacy Policy (the ""Policy"") discloses the privacy practices of O'Reilly Media, Inc. and O'Reilly UK Limited (""O'Reilly""), and Safari Books Online, LLC (""Safari"") (referred to collectively as ""we,"" ""us,"" ""our""). This Policy governs how we use and protect personal information that we collect when you visit our website, use our services or mobile apps, or otherwise engage with us. Any practices or points that are specific to O'Reilly or Safari are also clearly marked out in this Policy.";True;True;"['""our""', '""our""']";"[""O'Reilly Media, Inc."", ""O'Reilly UK Limited"", ""O'Reilly"", 'Safari Books Online, LLC', 'Safari', ""O'Reilly"", 'Safari']";True;True
3966;com.safariflow.queue;© 2022, O’Reilly Media, Inc. All trademarks and registered trademarks appearing on oreilly.com are the property of their respective owners.;True;True;['©'];['O’Reilly Media, Inc.', 'oreilly.com'];True;True
3993;com.screentime.rc;“Services” means any of our products, services, or deliverables.;False;True;['“services”'];[];False;False
3994;com.screentime.rc;“Site” means any website operated and controlled by us.;False;True;['“site”'];[];False;False
4039;com.screentime.rc;© 2022 Screen Time Labs Ltd ® All rights reserved;True;True;['©', 'all rights reserved'];['Screen Time Labs Ltd'];True;True
4064;com.sfchronicle.newsapp;This Privacy Notice /Notice At Collection (the “Privacy Notice”) applies to the U.S. website, mobile application or other digital service (each a “Digital Service”) linking to this Privacy Notice and owned or operated by San Francisco Chronicle, a publication of Hearst Communications, Inc. (“we”, “us”, “our” or “Hearst”). This Privacy Notice describes the privacy practices of Hearst only and does not cover the practices of other companies, including those that may advertise or sponsor content, products or services on the Digital Services.;True;True;['“we”', '“our”', '“us”'];['San Francisco Chronicle', 'Hearst Communications, Inc.', 'Hearst', 'the Digital Services'];True;True
4200;com.sfchronicle.newsapp;"RETURN TO TOP
ABOUT
Our Company
Privacy Notice /Notice At Collection
Your California Privacy Rights
Interest Based Ads
Terms of Use
Careers
Advertising
NEWSROOM
Ethics Policy
How We Cover Politics
Endorsement Process
News Tips
Newsroom News
CONTACT
Customer Service
FAQ
Newsroom Contacts
CCPA
Do Not Sell My Personal Information
SERVICES
Subscriber Services
e-Edition
Reprints & Permissions
Corporate Subscriptions
App
Archives
Membership
Store
Subscription Offers
sfgate.com
©2022 Hearst
Your Choices Regarding Cookies
We and third parties may deploy cookies and similar technologies when you use our site. Please review the information below and select the cookies that you want to enable. You can continue to the site without accepting these cookies but certain features may not be available or function properly.
Editorial, Functionality and Social Media Cookies
We use third-party services for commenting, videos, and embedding posts as part of our news coverage. The providers of these cookies may use the data as explained in their privacy policies.
Twitter(Privacy Policy)
Facebook(Privacy Policy)
SELECT ALL
Performance, Content Recommendation and Personalization Cookies
We use our own and third-party services to provide content recommendations and customize your user experience and advertising. The providers of these cookies may use the data as explained in their privacy policies.
Taboola(Privacy Policy)
Nativo(Privacy Policy)
Blueconic(Privacy Policy)
Realm
SELECT ALL
Analytics
We use cookies to analyze and measure traffic to the site so that we know our audience, what stories are read, where visitors come from, and how long they stay. You can opt out of these analytics cookies by unselecting the boxes below.
Parsely(Privacy Policy)
Google Analytics(Privacy Policy)
Chartbeat(Privacy Policy)
Privacy Notice
CONTINUE
Privacy Settings";True;True;['©'];['Hearst'];True;True
4202;com.shinemusicplayer.androidgpmusic;"Shine Music (""Shine Music"" or ""we"") collects information from you in order to provide better service and give you a better user experience. We always put your privacy as the first consideration and this Privacy Policy explains how we collect, use, and protect your information.";True;True;"['""we""', '""we""']";['Shine Music', 'Shine Music'];True;True
4309;com.shpock.android;"The finderly GmbH, Gertrude-Fröhlich-Sandner Straße 2, SPACES Icon Tower, Turm 9, 1100 Vienna, Austria (hereinafter referred to as ""Operator"") operates websites (shpock.com and other country specific top level domains like e.g. .co.uk, .de, .at) and mobile apps (Shpock app for Android, Shpock app for iOS) (hereinafter collectively ""Shpock"" / ""Shpock services""), under the name ""Shpock"". The Operator is the controller of personal data within the meaning of the General Data Protection Regulation (GDPR). The Operator decides on the purposes and means of processing personal data and is ultimately responsible for ensuring that the processing takes place in accordance with governing personal data legislation.";True;True;['(hereinafter'];['Operator', 'Shpock', 'Shpock', 'Shpock', 'Shpock', 'Shpock', 'Operator'];True;True
4312;com.shpock.android;"When Shpock is used, the Operator is provided with a set of personal data. Personal data means information which can directly or indirectly be linked to a living natural person. Examples of personal data include name, address, telephone number and email address; however, information about IP numbers and user behaviour when using the services may also constitute personal data. Below, the Operator explains to the users of Shpock (hereinafter referred to as “user” or “users”) how data, what kind of data and for what purpose data is collected and to whom this data may be shared with. Finally, the Operator informs users about their rights as well as internal rules for data storage.";True;True;['(hereinafter', '“user”', '“users”'];['Shpock', 'Shpock'];True;True
4406;com.shpock.android;"GET THE APP
Go to Google Play store
Go to Apple App store
More about our App
SHPOCK
Shpock+ for Professionals
Careers
News & Press
Help Centre
LEGAL
Contact
Terms & Conditions
Buyer protection
Privacy Policy
Cookie Policy
Privacy settings
English
© finderly GmbH & Co KG 2022
Go to Shpock on Facebook
Go to Shpock on Instagram
Go to Shpock on Twitter";True;True;['©'];['finderly GmbH & Co KG'];True;True
4508;com.sony.psexp2016;Website ©2022 Sony Interactive Entertainment Europe Limited. Todo el contenido, títulos de los juegos, nombres registrados y/o conjunto registrado, ilustraciones e imágenes asociadas son marcas registradas y/o material de derecho de autor de sus respectivos propietarios. Se reservan todos los derechos. Más info;True;True;['©'];[];False;True
4510;com.sports.live.football.tv;"Jump to
Sections of this page
Accessibility Help
Press opt + / to open this menu
Facebook
Email or phone	Password
		
	
Forgot account?
Sign Up
Notice
You must log in to continue.
Log into Facebook
Log In
Forgot account?
Create new account
English (US)
Español (España)
Català
Français (France)
Română
Italiano
Galego
Deutsch
Português (Brasil)
العربية
हिन्दी
Sign UpLog InMessengerFacebook LiteWatchPlacesGamesMarketplaceFacebook PayOculusPortalInstagramBulletinLocalFundraisersServicesVoting Information CenterGroupsAboutCreate AdCreate PageDevelopersCareersPrivacyCookiesAd choices
TermsHelp
Settings
Activity log
Meta © 2022
Allow the use of cookies from Facebook on this browser?
We use cookies and similar technologies to:
Provide and improve content on Facebook Products
Provide a safer experience by using information we receive from cookies on and off Facebook
Help personalize content and services, including ads, on Facebook Products for people who have Facebook accounts
For advertising and measurement services off of Facebook Products, analytics, and to provide certain features and improve our services for you, we use tools from other companies on Facebook. These companies also use cookies.
You can allow the use of all cookies on this browser or you can choose more options. You can learn more about cookies and how we use them, and review or change your choice at any time in our Cookie Policy.
More Options
Allow All Cookies";True;True;['©'];[];False;True
4575;com.stingray.karaoke.smc;Stingray Group Inc. is the data controller for the purposes of the personal data processed under this Privacy Policy.;True;True;['is the data controller'];['Stingray Group Inc.'];True;True
4585;com.stingray.karaoke.smc;© 2014 Stingray Digital Media Group. All rights reserved. “STINGRAY”, “ALL GOOD VIBES” and other related marks and logos are trademarks of Stingray Digital Media Group in Canada, the United States of America and other territories.;True;True;['©', 'all rights reserved'];['Stingray Digital Media Group', 'STINGRAY', 'Stingray Digital Media Group'];True;True
4589;com.streema.simpleradio;"Welcome to Streema. This Privacy Policy is incorporated by reference into the Streema Terms of Service (the “Terms”). The terms “Streema”, “we”, “us” and/or “our” refer to Streema, Inc. We respect your privacy. Our Privacy Policy applies to the information that is processed by Streema in the course of providing the Streema Service, which consists of our websites (""Sites""), including Streema.com, as well as our applications made available for mobile devices (""Simple Radio""), including the Simple Radio applications for the iOS platform, available on the Apple App Store, and the Android platform, available on Google Play, and any and all future offerings operated by or on behalf Streema. This Privacy Policy explains our information practices, what information we collect through the Streema Service, how we use and share that information, and how you can opt out of a use or correct or change such information. This Privacy Policy is intended to meet global requirements globally, including those in North America, Europe, APAC and other jurisdictions.";True;True;"['“we”', '“our”', '“us”', '""sites""']";['Streema', 'Streema', 'Streema, Inc.', 'Streema', 'Streema', 'Streema.com', 'the Apple App Store', 'Android', 'Google Play', 'Streema', 'the Streema Service'];True;True
